Dataset,0 states,10 states,25 states,50 states,75 states,100 states,
OR10x100-0.75_1 SAM-0.02,7057125,77369672,182892248,357984295,532064332,706249480,
OR10x100-0.75_1 SAM-0.05,7057125,77602511,183329109,359336913,534961784,709195281,
OR10x100-0.75_1 SAM-0.1,7057125,76740410,181074663,349629918,514015441,679144481,
OR10x100-0.75_1 SAM-0.2,7057125,74281645,171926494,331859849,492799464,658580578,
OR10x100-0.75_10 SAM-0.01,7457859,82114136,194300615,381653884,569225803,757201557,
OR10x100-0.75_10 SAM-0.02,7457859,82168450,194647942,382787728,570939649,759315963,
OR10x100-0.75_10 SAM-0.05,7457859,81899168,192198943,377546745,564162133,748226770,
OR10x100-0.75_10 SAM-0.1,7457859,82224352,193354697,378616851,562786769,749332031,
OR10x100-0.75_10 SAM-0.2,7457859,80225061,190668782,369694560,542472551,716528393,
OR10x100-0.75_2 SAM-0.01,7254294,79737696,188210735,368981949,549825509,730831209,
OR10x100-0.75_2 SAM-0.02,7254294,79896688,189107014,370815115,552625740,733951200,
OR10x100-0.75_2 SAM-0.05,7254294,79435353,187612705,367352302,548442271,731392269,
OR10x100-0.75_2 SAM-0.1,7254294,79537459,188896264,374261524,562357634,751967733,
OR10x100-0.75_2 SAM-0.2,7254294,81341874,194479871,388086718,579529632,771803647,
OR10x100-0.75_3 SAM-0.01,7182093,79059755,186883461,366761780,546582733,726418178,
OR10x100-0.75_3 SAM-0.02,7182093,79007204,186556145,365230834,543910681,722561574,
OR10x100-0.75_3 SAM-0.05,7182093,78797413,186378362,365765538,543300962,720301279,
OR10x100-0.75_3 SAM-0.1,7182093,79682971,189346243,373642349,558026436,748156631,
OR10x100-0.75_3 SAM-0.2,7182093,79090437,187611555,370883748,556884572,743796181,
OR10x100-0.75_4 SAM-0.01,7621818,83842685,198205074,388934572,579466340,769736171,
OR10x100-0.75_4 SAM-0.02,7621818,83756557,197569917,387112003,576576595,765459564,
OR10x100-0.75_4 SAM-0.05,7621818,83511528,197279266,386037210,574245325,762590664,
OR10x100-0.75_4 SAM-0.1,7621818,84927384,199910044,392201452,588834320,784669065,
OR10x100-0.75_4 SAM-0.2,7621818,86553290,207040633,406483865,610275032,815596844,
OR10x100-0.75_5 SAM-0.01,7478769,82324081,194515181,381808703,569172728,756385341,
OR10x100-0.75_5 SAM-0.02,7478769,82253777,194385121,380885886,566567567,751352986,
OR10x100-0.75_5 SAM-0.05,7478769,82333234,194093753,380709114,570125320,757715144,
